編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2017-12-29 17:54:00,121.14,24.69,2.7,6.5,2,新竹縣政府東南方  19.4  公里 (位於新竹縣橫山鄉)(新竹縣橫山鄉)
小區域有感地震,2017-12-29 09:18:36,121.9,24.45,3,21.4,2,宜蘭縣政府南偏東方  33.5  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2017-12-27 04:02:53,121.35,23.11,4.1,19,3,臺東縣政府北偏東方  44.1  公里 (位於臺東縣成功鎮)(臺東縣成功鎮)
小區域有感地震,2017-12-26 23:56:00,120.44,23.18,3,10.2,2,臺南市政府東北方  33.1  公里 (位於臺南市玉井區)(臺南市玉井區)
小區域有感地震,2017-12-26 23:19:21,120.44,23.17,3.5,10.6,3,臺南市政府東北方  32.8  公里 (位於臺南市玉井區)(臺南市玉井區)
小區域有感地震,2017-12-25 23:07:33,120.7,23.64,2.9,13,3,雲林縣政府東偏南方  19.1  公里 (位於南投縣竹山鎮)(南投縣竹山鎮)
060   ,2017-12-24 23:14:46,120.72,23.59,4.3,16.6,4,雲林縣政府東偏南方  23.4  公里 (位於雲林縣古坑鄉)(雲林縣古坑鄉)
小區域有感地震,2017-12-24 01:24:28,120.6,22.9,3.7,17.5,2,屏東縣政府北偏東方  26.9  公里 (位於高雄市六龜區)(高雄市六龜區)
小區域有感地震,2017-12-22 13:28:28,120.7,23.64,3.3,14.1,3,雲林縣政府東偏南方  19.2  公里 (位於南投縣竹山鎮)(南投縣竹山鎮)
小區域有感地震,2017-12-21 06:40:09,122.5,24.82,4,106.7,2,宜蘭縣政府東方  75.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2017-12-21 05:52:42,121.14,24.69,2.6,5.6,2,新竹縣政府東南方  19.4  公里 (位於新竹縣橫山鄉)(新竹縣橫山鄉)
小區域有感地震,2017-12-21 05:12:06,121.14,24.69,3,5.9,3,新竹縣政府東南方  19.6  公里 (位於新竹縣橫山鄉)(新竹縣橫山鄉)
小區域有感地震,2017-12-20 14:04:08,121.47,23.93,3,17.9,3,花蓮縣政府西偏南方  17.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2017-12-18 18:47:19,122.28,24.8,4,10.9,2,宜蘭縣政府東方  53.0  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2017-12-17 12:08:07,120.92,22.84,3.7,6.7,2,臺東縣政府西偏北方  25.8  公里 (位於臺東縣延平鄉)(臺東縣延平鄉)
小區域有感地震,2017-12-16 12:29:20,121.01,22.57,3.2,7,3,臺東縣政府西南方  25.7  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2017-12-15 21:51:38,121.48,23.92,3,17.5,3,花蓮縣政府西偏南方  16.5  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2017-12-15 03:14:30,121.91,24.4,3.3,21.2,3,宜蘭縣政府南偏東方  39.6  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2017-12-13 14:06:45,121.64,24.02,2.5,8.4,1,花蓮縣政府北偏東方  3.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2017-12-13 07:17:40,122.25,24.09,4.5,23.5,1,花蓮縣政府東方  64.8  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2017-12-11 10:39:51,121.48,23.91,2.8,15.3,3,花蓮縣政府西偏南方  16.6  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2017-12-11 02:10:16,121.76,23.81,3.2,17.8,1,花蓮縣政府東南方  24.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2017-12-10 14:19:19,120.3,23.16,2.6,11.9,2,臺南市政府東北方  21.8  公里 (位於臺南市善化區)(臺南市善化區)
小區域有感地震,2017-12-09 20:47:24,120.5,23.47,2.6,8.6,2,嘉義市政府東方  4.5  公里 (位於嘉義縣番路鄉)(嘉義縣番路鄉)
小區域有感地震,2017-12-09 20:46:24,120.49,23.47,2.8,8.3,2,嘉義市政府東偏南方  4.2  公里 (位於嘉義市東區)(嘉義市東區)
小區域有感地震,2017-12-09 03:13:06,121.69,24.24,4,17.9,3,花蓮縣政府北偏東方  28.5  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2017-12-08 21:15:17,121.77,23.74,3.6,31.7,2,花蓮縣政府南偏東方  32.1  公里 (位於臺灣東部海域)(臺灣東部海域)
059   ,2017-12-08 11:44:29,122.42,24.36,5.2,79,2,宜蘭縣政府東偏南方  78.1  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2017-12-08 08:00:43,121.95,24.79,4,94.6,2,宜蘭縣政府東偏北方  20.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2017-12-08 04:33:05,121.44,23.3,3.4,26.1,3,臺東縣政府北偏東方  67.4  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2017-12-05 21:03:39,121.87,24.52,3.4,25.8,3,宜蘭縣政府南偏東方  25.3  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2017-12-05 06:04:11,121.82,24.28,3.3,10.3,3,花蓮縣政府東北方  38.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2017-12-04 21:10:11,120.68,23.1,3.3,7.9,2,嘉義市政府南偏東方  48.4  公里 (位於高雄市六龜區)(高雄市六龜區)
